id,name,sex,age,died_year,address
u33fmnhctv,Agda Holst,Female,115,117,
dmp2hccsfg,Sorena Pallesen,Female,108,111,
w6cnc27843,Kari Solberg,Female,49,52,
qc8jywfpmw,Lord Michael Jensen,Male,56,59,
ycw4trhxmd,Dr Helsa Eklund,Female,119,123,
6abgw8wbdp,Viktoria Solberg,Female,67,71,
um3862gage,Lena Svendsen,Female,60,65,
ptx3swqrz9,Lady Tindra Blomgren,Female,68,72,
qw8bhaemaf,Agda Larsen,Female,79,84,
k45757p4ua,Signe Madsen,Female,50,55,
3nrsyuhjgv,Brenda Thorn,Female,57,62,
l7eeujcy4g,Gerik Falk,Male,84,89,
xwwvb5gvaw,Lady Magdalena Olsen,Female,83,88,
s4trxzqcur,Tobias Sorensen,Male,73,78,
vad8er34e4,Halden Clausen,Male,66,72,
82wpvb7zkj,Lady Tindra Lund,Female,45,51,
38skh8gg5e,Dr Raum Jensen,Male,99,105,
exa3zskdbu,Gala Larsen,Female,16,22,
4b3t8l5cek,Hallmar Jacobsen,Male,100,106,
a8g6c3jq5v,Agda Lange,Female,87,94,
5ec2yxs7pq,Kristjana Blomgren,Female,59,66,
nxymtmmmbb,Sophia Thorn,Female,56,63,
uudzw4223m,Helsa Pallesen,Female,60,67,
de2mssufp7,Elias Rasmussen,Male,121,128,
2ssc2leesw,Lady Sonja Erickson,Female,86,94,
9p7q53tsh8,Dr Helsa Carlsen,Female,102,109,
w2yfducrlx,Sanna Sorensen,Female,110,118,
r8ubzqm86t,Elias Jacobsen,Male,35,43,
leq7mmwppn,Lord Anund Ibsen,Male,74,81,
5yctgbr5c9, Tyr Jensen,Male,96,104,
y59p482mv4,Sven Lange,Male,91,99,
63n28pezle,Karen Pallesen,Female,92,101,
76x9x24vvk,Gerik Blomgren,Male,45,54,
qpkvsqwaj6,Alina Solberg,Female,80,89,
kvfrem7s32,Emma Bager,Female,54,63,
d3cm2jg9mv,Axel Jensen,Male,80,90,
3f4dab28ql,Dr Fabian Sorensen,Male,82,91,
bfsx464gq3,Lukas Olsen,Male,84,95,
5mntq2dx9x,Viggo Solberg,Male,32,43,
hc7b8mgufd,Lady Sophia Blomgren,Female,53,64,
cj37uhrbz8,Karina Sorensen,Female,90,101,
8t8a7spnt9,Berit Olsen,Female,1,13,
44edj2nzma,Lena Blomgren,Female,77,90,
x9a96xwg76,Olson Bager,Male,52,65,
tjfch7vtz6,Magdalena Blomgren,Female,94,109,
6aytyryq7m,Elin Nordskov,Female,66,80,
akth6vyb25,Jana Madsen,Female,99,122,
4rpdsr9tky,Erik Eklund,Male,56,79,
256qudvzn6,Jana Eklund,Female,68,93,
trr5aafkld,Lena Eklund,Female,48,74,
h5jvh3zhp4,Astrid Jensen,Female,84,110,
6hamrujgst,Hallmar Thorn,Male,102,128,
zn6hdrtxbp, Tyr Thorn,Male,116,142,
2sfq45htlu,Dr Vanessa Thorn,Female,78,104,
ledkp6z4jl,Lea Larsen,Female,35,62,
cyprdpvs6n,Magdalena Pallesen,Female,45,73,
d3zy43knft,Katharina Pallesen,Female,31,59,
svspbzbfwe,Inge Solberg,Female,15,44,
5mb7tkfc4v,Thurston Carlsen,Male,23,52,
ys73fgqtmq,Dr Matthias Bager,Male,80,109,
u3d6sqn6gr,Alina Larsen,Female,97,126,
8tvm9bs3n7,Julian Blomgren,Male,7,36,
v6ndh4c2rw,Paul Lange,Male,109,139,
eqazcs6gdh,Julian Sorensen,Male,44,74,
gwufthh7xt,Felix Solberg,Male,82,112,
zfh3p7cmke,Ingrid Carlsen,Female,72,102,
pt9twyvkn5,Matthias Pallesen,Male,76,107,
vqn62gaydf,Hannah Larsen,Female,19,50,
akgv8e3ru2,Yorick Thorn,Male,12,44,
6umyknz3p3,Kari Carlsen,Female,118,150,
pgkt6qhdlt,Sarah Larsen,Female,77,110,
828f2ect8e,Helga Ibsen,Female,100,132,
384bnamas9,Lady Emma Blomgren,Female,65,97,
uupq377upg,Anna Solberg,Female,56,90,
deccxuz9c3,Alina Sorensen,Female,97,131,
2s447nk8fs,Fabian Jacobsen,Male,41,75,
ehmkn8p5m8,Lady Julia Thorn,Female,50,84,
w2a7jwhk9t,Hans Blomgren,Male,85,119,
bv3wquacqe,Johanna Jensen,Female,80,115,
769z359pjf,Erling Sorensen,Male,96,131,
xpk7sm5d7h,Sten Sorensen,Male,39,75,
5myjv4jrws,Michael Carlsen,Male,71,108,
u32ju9rkap,Sonja Ibsen,Female,81,119,
dmn5qxkzw9,Lady Anika Sorensen,Female,61,99,
8tjzbuugg5,Emma Solberg,Female,37,75,
rfguwvcsdv,Axel Solberg,Male,92,130,
57zbeggpkb,Hallmar Solberg,Male,100,139,
tjr3n92nn2,Harold Thorn,Male,128,167,
2kfng44wnh,Lukas Solberg,Male,41,82,
xwvyjqp4sp,Katharina Ibsen,Female,67,110,
ndxxhvww5l,Elin Thorn,Female,78,121,
jn43v5v9yl,Thurston Svendsen,Male,53,97,
9562ua44ch,Karena Jensen,Female,54,98,
4b2wf7dkvc,Kristjana Eklund,Female,81,126,
5eb57k2f6j,Laura Thorn,Female,59,104,
q5j7hy7lcf,Yorick Pallesen,Male,38,83,
bvq9tddrjc,Kin Kimura,Male,36,82,
63m5fan848,Hakan Sorensen,Male,78,125,
nl9raygnqs,Vanessa Jensen,Female,82,129,
kyp3dl4vty,Dahl Madsen,Female,13,61,
5mmwxml6rq,Gerda Sorensen,Female,74,122,
n6ajtbfldb,Ren Kimura,Male,63,111,
qcuy93sbxm,Lady Lynnea Eklund,Female,102,151,
kjquvx2tgh,Astrid Eklund,Female,85,134,
eqlqhuba2d,Hannah Eklund,Female,113,162,
rf58zef78t,Julian Jensen,Male,76,125,
umpnf6swr5,Julia Larsen,Female,43,93,
2k42km6bhf,Philipp Thorn,Male,104,154,
qwurseq9l6,Tobias Lund,Male,54,104,
wt95wv4nbg,Lord Masa McCarthy,Male,76,126,
s4f8963z5h,Lord Erling Blomgren,Male,85,136,
hkg78bathd,Kerstin Thorn,Female,85,136,
jnrexnxnsj,Hannah Kimura,Female,104,155,
qk6s26c3ju,Leon Ibsen,Male,75,127,
a84mm7ucfl,Halden Sorensen,Male,51,103,
ykucvydbjb,Philipp Sorensen,Male,15,66,
g5hyqn8r6w,Lady Olina Jensen,Female,56,108,
j8s7g2wlf3,Florian Carlsen,Male,90,143,
gphr927pte,Lynnea Jensen,Female,26,79,
2cflu3pyq6,Lady Karena Sorensen,Female,106,159,
d3y3cnsvwl,Raphael Lund,Male,54,107,
89uxxj3dgg,Torvald Madsen,Male,62,115,
3fqtkfcuzb,Dr Kaya Larsen,Female,73,127,
rsgkt8ws43,Dane Solberg,Male,47,100,
e69b32gr7s, Tyr Blomgren,Male,60,114,
9c57pwq8rm,Dr Olson Blomgren,Male,80,133,
dmyuuzqtk5,Philipp Larsen,Male,57,111,
7tuqgwza5z,Kirk Jensen,Male,82,136,
v6mgqpk98q,Lady Hannah Solberg,Female,77,131,
9w5y7ap6e6,Sophia Solberg,Female,71,126,
sj3tsb7gbw,Torsten Pallesen,Male,84,138,
6alaawadhc,Illona Lund,Female,72,127,
rzsclbgjp9,Tyra Solberg,Female,87,142,
s44lbp5eye,Nina Solberg,Female,27,82,
vdx9hs5zsw,Karen Sorensen,Female,52,108,
4bcml9jdj8,Gerik Larsen,Male,74,130,
5emubm79td,Mia Carlsen,Female,57,114,
trdlker7w4,Dr Erling Pallesen,Male,86,142,
g56ct7b6zt,Erik Solberg,Male,49,105,
bb28f4lmjp,Fabian Sorensen,Male,33,89,
2s37e9tfwk,Agda Jensen,Female,39,96,
vxx2264xff,Freya Jensen,Female,25,82,
q5uwm2deza,Olson Jensen,Male,90,148,
jvqksalt7p,Anika Holst,Female,63,121,
4jnedc455f,Sarah Sorensen,Female,61,119,
f97wuw72bv,Marcel Solberg,Male,88,146,
af3sgtghuq,Kirk Sorensen,Male,90,148,
n6l9ydle27,Karen Solberg,Female,109,168,
9wsbatrk84,Shin McCarthy,Male,23,82,
34p7wp23sx,Dr Lea Solberg,Female,53,113,
dax87af2cr,Hakan Solberg,Male,97,157,
ed8gwm4wlw,Daniel Solberg,Male,12,73,
9k4cjjdd6s,Sten Carlsen,Male,17,78,
krcdt4scqk,Karen Thorn,Female,54,116,
rnrqwk6rfv,Hakan Solberg,Male,127,189,
lumljgf8zq,Dane Bager,Male,20,82,
6hkf5jxhwg,Anund Carlsen,Male,108,170,
9se5bmx4ry,Mia Bager,Female,10,73,
bvpc2zlyz5,Nina Clausen,Female,59,122,
nl8uhkqv7l,Illona Sorensen,Female,56,120,
jvdxutn82m,Ragnar Carlsen,Male,59,123,
sv3jpnqg24,Helsa Pallesen,Female,47,111,
afq5kckwnn,Tobias Jensen,Male,111,176,
tycre2ecb9,Paul Ibsen,Male,55,120,
n69m2xntu4,Dr Erling Olsen,Male,51,115,
bjzcaq8sxt,Marcel Solberg,Male,75,140,
v6x7vrq3vk,Olson Solberg,Male,17,82,
9wfpccuy22,Emma Solberg,Female,85,151,
sjdjxdcayr,Nico Jensen,Male,51,117,
6awzeyf768,Gunnar Clausen,Male,87,153,
7d796c53fd,Alexander Solberg,Male,90,156,
8gggvpswpj,Karena Solberg,Female,32,98,
k7zxcawtvy,Ronan McCarthy,Male,65,131,
s4ebgra8ma,Helsa Jensen,Female,82,149,
qk5v9rkazm,Harold Olsen,Male,15,82,
rne4z496at,Kirstie Sorensen,Female,70,138,
6h8t732xqe,Dr Philipp Jensen,Male,43,111,
q56ns4j8n6,Lady Laura Eklund,Female,62,131,
y85gcb9cxs,Malena Olsen,Female,65,134,
nlv7l4ta2j,Hanne Sorensen,Female,64,133,
4jy5je9xra,Leif Jensen,Male,84,154,
xpuz5bjeb6,Lynnea Sorensen,Female,58,127,
rvqvr7tvuz,Jeneve Carlsen,Female,108,177,
l3mrd44dev,Soren Solberg,Male,80,149,
6qjly5lnbm,Paige Kimura,Female,60,130,
zvegl2v5vg,Halden Larsen,Male,79,149,
b4phvl95fa,Lord Masa McCarthy,Male,75,146,
nt7zc7d2mq,Harold Jensen,Male,111,182,
hz3vy3nh6l,Lady Malena Eklund,Female,94,165,
8g5ux8vbjg,Helsa Carlsen,Female,107,178,
nd8svjby99,Lord Sebastian Larsen,Male,74,146,
uam5zzpczj,Viggo Solberg,Male,41,113,
exjyk38nwa,Michael Jensen,Male,70,142,
a8q3xb6zqb,Tomas Solberg,Male,68,140,
ykgt65qxt2,Paul Eklund,Male,91,163,
2s2amu2pdd,Rachel Kimura,Female,77,149,
qs425d8fes,Olina Eklund,Female,101,174,
kyyvq9hwxm,Lady Lea Larsen,Female,73,146,
tyngk4k6y4,Michael Jensen,Male,90,163,
cmlb663gvu,Lady Dahl Carlsen,Female,120,194,
eqvjvhqb62,Dr Donar Eklund,Male,48,122,
qzetvfs6zy,Erla Thorn,Female,79,154,
s4q2mtf2a6,Lord Fabian Sorensen,Male,48,122,
5u8j4ekxfl,Julian Larsen,Male,73,148,
vdkqswfm4n,Gunnar Sorensen,Male,72,147,
wguxha5hdt,Astrid Thorn,Female,59,134,
lulpr3pfgj,Lara Sorensen,Female,94,169,
vxkhbaekr6,Raphael Jensen,Male,101,177,
q5gdx6p2b2,Dr  Tyr Lund,Male,34,110,
8p4zsuhgxl,Erik Larsen,Male,73,149,
3vyuersxgg,Karena Blomgren,Female,50,126,
elhcwbwunw,Sebastian Jensen,Male,9,84,
x56yrzqabh,Halle Larsen,Female,43,119,
gpskmpkqx3,Leif Carlsen,Male,78,154,
avnf9lu7hx,Dr Katharina Carlsen,Female,113,189,
cyxnyxh3s4,Raphael Solberg,Male,43,119,
jvc24fwfhe,Marcel Blomgren,Male,80,157,
vlvhkzzcpu,Tindra Sorensen,Female,26,102,
4javngere6,Dr Lynnea Thorn,Female,52,128,
zvq7r42yhc,Raum Solberg,Male,13,90,
p9hxyvkwl3,Dr Hannah Bager,Female,77,154,
kjn2c6j9f4,Rin McCarthy,Female,6,83,
34bn7ucp3p,Lara Sorensen,Female,87,164,
47lvw72kcu,Jana Holst,Female,92,169,
hzdl56tbtf,Sanna Carlsen,Female,69,146,
7d6cdxcaw6,Magdalena Carlsen,Female,72,150,
xwgj3g9yj8,Helsa Solberg,Female,66,144,
la9ab9twmx,Lukas Lund,Male,33,110,
cukgzrplaz,Illona Ibsen,Female,61,139,
exupq5dgk6,Jasmin Holst,Female,57,135,
lu93ulruag,Lynnea Sorensen,Female,97,175,
5ewnpalax2,Dr Selina Solberg,Female,93,171,
n2uhac4lus,Dr Tyra Carlsen,Female,53,131,
vx8vdtgyk4,Kirstie Blomgren,Female,110,189,
mhk34cdn86,Dr  Tyr Blomgren,Male,118,197,
fpfxp8n5sz,Mia Jensen,Female,71,150,
d3w9su9cv7,Arvid Carlsen,Male,63,142,
34yz9df4wl,Valdemar Carlsen,Male,18,98,
rfqrh6z2zb,Magnar Holst,Male,75,154,
xc55mmdfqm,Lukas Pallesen,Male,37,117,
5ajgq4stfx,Lord Sven Blomgren,Male,90,170,
7dtpfgfpq4,Gerda Eklund,Female,45,125,
j4c7x2klwj,Dr Tyra Blomgren,Female,46,127,
9kd6w7seaf,Kirstie Sorensen,Female,34,114,
ual88mxkgc,Dr Juhani Solberg,Male,86,167,
6hu9h7ck26,Jeneve Eklund,Female,89,171,
by9e52pvey,Elin Blomgren,Female,84,166,
ppsvllssle,Illona Larsen,Female,59,142,
7tfazmk6wh,Dr Soren Eklund,Male,87,170,
7dg3jzh4k2,Dr Leon Jensen,Male,54,138,
uq8trs33nr,Mia Thorn,Female,74,158,
g5rvbxuzrc,Vanessa Thorn,Female,68,153,
4y87dqp29f,Gerda Sorensen,Female,46,132,
zbphfcb9cm,Henrik Lund,Male,27,113,
9zn4jwyaas,Dr Ebbe Sorensen,Male,96,182,
uawxcp4e58,Hakan Solberg,Male,82,170,
srmh6pdghk,Sven Sorensen,Male,81,169,
3vlbqv4ls7,Lucia Thorn,Female,90,178,
c7ww27efn2,Erika Thorn,Female,108,198,
y8qzu2t7qb,Lord Jonas Larsen,Male,72,163,
zbz8leg3zg,Mia Eklund,Female,89,181,
l38bwtm87e,Marcel Carlsen,Male,46,138,
m6hjm7b4gk,Marcel Olsen,Male,116,207,
ng4k5njpbx,Theresa Jensen,Female,87,180,
852eqp2z8p,Tindra Blomgren,Female,70,163,
lujv7a6we5,Dr Astrid Eklund,Female,63,156,
mxt4xmtrpa,Katharina Eklund,Female,68,161,
p5ekdd6h9m,Donar Sorensen,Male,73,166,
q8ps4rtcjs,Leonie Eklund,Female,93,187,
vltpz7htmf,Katharina Thorn,Female,59,152,
sy924u42rm,Dr Marcel Jensen,Male,101,195,
qfzkvtd45z,Thurston Jensen,Male,93,187,
eds4nyvyu8,Dr Maximilian Sorensen,Male,65,160,
5ut3m55t85,Dr Fabian Eklund,Male,45,140,
4yumnuznj6,Lucia Carlsen,Female,18,114,
536vd8pjtb,Harold Sorensen,Male,85,181,
dq5ggsclrg,Elsa Sorensen,Female,27,124,
477ffxke5d,Dr Yorick Thorn,Male,62,158,
anlk3swqh7,Kirk Sorensen,Male,104,201,
